BreachedEntity;State;PublishedDate;BreachType;BreachCategory;RecorsReported;Source;URL
Zenith Global Logistics;NC;12/19/2019;Electronic;Business;1,500;media.dojmt.gov;#https://media.dojmt.gov/wp-content/uploads/General-Notice-37.pdf#
Cook Wealth Management;NC;12/20/2019;Electronic;Banking/Credit/Financial;Unknown;media.dojmt.gov;#https://media.dojmt.gov/wp-content/uploads/General-Notice-36.pdf#
Pleasant Wealth LLC;OH;12/23/2019;Electronic;Banking/Credit/Financial;Unknown;media.dojmt.gov;#https://media.dojmt.gov/wp-content/uploads/General-Notice-35.pdf#
Baylor Genetics;TX;12/24/2019;Electronic;Medical/Healthcare;Unknown;media.dojmt.gov;#https://media.dojmt.gov/wp-content/uploads/Consumer-Notice-73.pdf#
Life Line Screening of America Ltd. (vendor);TX;12/30/2019;Electronic;Medical/Healthcare;Unknown;media.dojmt.gov;#https://media.dojmt.gov/wp-content/uploads/General-Notice-34.pdf#
Ann & Robert H. Lurie Children's Hospital of Chicago;IL;12/26/2019;Electronic;Medical/Healthcare;4,195;luriechildrens.org;#https://www.luriechildrens.org/en/notice/#
Mansfield Energy Corp.;GA;8/1/2019;Electronic;Business;Unknown;doj.nh.gov;#https://www.doj.nh.gov/consumer/security-breaches/documents/mansfield-energy-20190801.pdf#
Lourd Capital LLC (LourdMurray);CA;6/26/2019;Electronic;Business;Unknown;doj.nh.gov;#https://www.doj.nh.gov/consumer/security-breaches/documents/lourd-capital-20190628.pdf#
City of Aurora - Aurora Water (Click2Gov #2);CO;12/30/2019;Electronic;Government/Military;Unknown;auroragov.org;#https://www.auroragov.org/cms/one.aspx?portalId=1881221&pageId=16261247#
Texas Health Harris Methodist Hospital Alliance (Texas Health Resources);TX;10/22/2019;Paper Data;Medical/Healthcare;3,784;texashealth.org;#https://www.texashealth.org/alliance/about-texas-health-alliance/a-message-to-our-patients#
Texas Health Harris Methodist Hospital Azle (Texas Health Resources);TX;10/22/2019;Paper Data;Medical/Healthcare;2,113;texashealth.org;#https://www.texashealth.org/azle/about-texas-health-azle/a-message-to-our-patients#
Texas Health Presbyterian Hospital Denton (Texas Health Resources);TX;10/22/2019;Paper Data;Medical/Healthcare;6,688;texashealth.org;#https://www.texashealth.org/denton/about-texas-health-denton/a-message-to-our-patients#
City of Philadelphia (reported on 7/19/2019);PA;7/19/2019;Electronic;Medical/Healthcare;1,458;ocrportal.hhs.gov;#https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf#
Starmount Life Insurance Company;LA;12/9/2019;Electronic;Medical/Healthcare;630;ocrportal.hhs.gov;#https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf#
Roosevelt General Hospital;NM;12/19/2019;Electronic;Medical/Healthcare;28,847;hipaajournal.com;#https://www.hipaajournal.com/new-mexico-hospital-discovers-malware-on-imaging-server/#
Anwan Wellness LLC;GA;12/9/2019;Electronic;Medical/Healthcare;530;ocrportal.hhs.gov;#https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf#
Beech Brook;OH;12/6/2019;Electronic;Medical/Healthcare;2,636;ocrportal.hhs.gov;#https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf#
Speight Family Medical, LLC;TN;12/6/2019;Electronic;Medical/Healthcare;2,000;ocrportal.hhs.gov;#https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf#
American Express Travel Related Services Company, Inc (reported on 11/6/2019);NY;11/6/2019;Electronic;Banking/Credit/Financial;32,549;mass.gov;#https://www.mass.gov/doc/assigned-data-beach-number-16012-american-express-travel-related-services-company-inc
Webster Five Cents Savings Bank (reported on 11/5/2019);MA;11/5/2019;Electronic;Banking/Credit/Financial;74;mass.gov;#https://www.mass.gov/doc/assigned-data-beach-number-16016-webster-five-cents-savings-bank/download#
Uber Technologies, Inc. - Massachusetts drivers only;MA;10/25/2019;Electronic;Business;65;mass.gov;#https://www.mass.gov/doc/assigned-breach-number-15953-uber-technologies-inc/download#
St. Anne's Credit Union;MA;10/7/2019;Electronic;Banking/Credit/Financial;55;mass.gov;#https://www.mass.gov/doc/assigned-data-beach-number-16006-st-annes-credit-union/download#
Wolff Shoe Company;MO;11/6/2019;Electronic;Business;5,084;mass.gov;#https://www.mass.gov/doc/assigned-breach-number-16021-wolff-shoe-company/download#
SmartBear Software Inc.;MA;11/26/2019;Electronic;Business;Unknown;mass.gov;#https://www.mass.gov/doc/assigned-breach-number-16121-smartbear-software-inc/download#
Donut Enterprises, Inc.;MA;11/27/2019;Electronic;Business;Unknown;mass.gov;#https://www.mass.gov/doc/assigned-breach-number-16124-donut-enterprises-inc/download#
Sealcoating Inc. dba Indus;MA;12/2/2019;Electronic;Business;Unknown;mass.gov;#https://www.mass.gov/doc/assigned-breach-number-16142-sealcoating-inc-dba-indus/download#
Prestige Health Choice;FL;12/13/2019;Electronic;Medical/Healthcare;4,662;ocrportal.hhs.gov;#https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf#
